,community_area,GEOID,value,type
1,Rogers Park,1.0,5.09051873807082,unemployment rate in community areas
2,Norwood Park,10.0,4.46145864075147,unemployment rate in community areas
3,Jefferson Park,11.0,5.73052840828009,unemployment rate in community areas
4,Forest Glen,12.0,4.39151500768578,unemployment rate in community areas
5,North Park,13.0,3.57956283403335,unemployment rate in community areas
6,Albany Park,14.0,6.6660517385112,unemployment rate in community areas
7,Portage Park,15.0,5.61781630141782,unemployment rate in community areas
8,Irving Park,16.0,6.44524550127912,unemployment rate in community areas
9,Dunning,17.0,4.89400825511832,unemployment rate in community areas
10,Montclare,18.0,5.36229404666811,unemployment rate in community areas
11,Belmont Cragin,19.0,5.36610753620452,unemployment rate in community areas
12,West Ridge,2.0,6.66286994248274,unemployment rate in community areas
13,Hermosa,20.0,4.78152963372372,unemployment rate in community areas
14,Avondale,21.0,5.01250923021485,unemployment rate in community areas
15,Logan Square,22.0,3.78858402046115,unemployment rate in community areas
16,Humboldt Park,23.0,10.9355354765512,unemployment rate in community areas
17,West Town,24.0,3.49830922227855,unemployment rate in community areas
18,Austin,25.0,13.7568115272227,unemployment rate in community areas
19,West Garfield Park,26.0,22.697513649178,unemployment rate in community areas
20,East Garfield Park,27.0,20.2887735825669,unemployment rate in community areas
21,Near West Side,28.0,7.07704746995199,unemployment rate in community areas
22,North Lawndale,29.0,17.8995419379258,unemployment rate in community areas
23,Uptown,3.0,4.30789333291623,unemployment rate in community areas
24,South Lawndale,30.0,10.4844858908713,unemployment rate in community areas
25,Lower West Side,31.0,6.34333277150737,unemployment rate in community areas
26,Loop,32.0,6.29411226675247,unemployment rate in community areas
27,Near South Side,33.0,2.0390077110256,unemployment rate in community areas
28,Armour Square,34.0,7.95256594079494,unemployment rate in community areas
29,Douglas,35.0,16.3414062717478,unemployment rate in community areas
30,Oakland,36.0,25.6771060386471,unemployment rate in community areas
31,Fuller Park,37.0,32.5187393179432,unemployment rate in community areas
32,Grand Boulevard,38.0,14.707791360845,unemployment rate in community areas
33,Kenwood,39.0,12.1722392765048,unemployment rate in community areas
34,Lincoln Square,4.0,5.8655543256256,unemployment rate in community areas
35,Washington Park,40.0,20.8443199249466,unemployment rate in community areas
36,Hyde Park,41.0,7.90557276445455,unemployment rate in community areas
37,Woodlawn,42.0,18.5140606090522,unemployment rate in community areas
38,South Shore,43.0,16.9699076272087,unemployment rate in community areas
39,Chatham,44.0,14.3251640227359,unemployment rate in community areas
40,Avalon Park,45.0,13.4687030080198,unemployment rate in community areas
41,South Chicago,46.0,16.9582924858769,unemployment rate in community areas
42,Burnside,47.0,21.4545049750991,unemployment rate in community areas
43,Calumet Heights,48.0,9.13981030256416,unemployment rate in community areas
44,Roseland,49.0,18.7057973018428,unemployment rate in community areas
45,North Center,5.0,3.65863010946593,unemployment rate in community areas
46,Pullman,50.0,15.3831168054232,unemployment rate in community areas
47,South Deering,51.0,13.5134220738204,unemployment rate in community areas
48,East Side,52.0,8.01710182714881,unemployment rate in community areas
49,West Pullman,53.0,19.4019968277389,unemployment rate in community areas
50,Riverdale,54.0,26.2904610024443,unemployment rate in community areas
51,Hegewisch,55.0,11.3136859135071,unemployment rate in community areas
52,Garfield Ridge,56.0,7.52493402806952,unemployment rate in community areas
53,Archer Heights,57.0,11.4034498870654,unemployment rate in community areas
54,Brighton Park,58.0,9.62738692092789,unemployment rate in community areas
55,McKinley Park,59.0,7.4910573237985,unemployment rate in community areas
56,Lake View,6.0,3.86199215947888,unemployment rate in community areas
57,Bridgeport,60.0,6.44017714309606,unemployment rate in community areas
58,New City,61.0,15.3776168428787,unemployment rate in community areas
59,West Elsdon,62.0,10.2833078597164,unemployment rate in community areas
60,Gage Park,63.0,16.2090417944579,unemployment rate in community areas
61,Clearing,64.0,8.4795689008772,unemployment rate in community areas
62,West Lawn,65.0,10.3934167046639,unemployment rate in community areas
63,Chicago Lawn,66.0,18.1550417329556,unemployment rate in community areas
64,West Englewood,67.0,23.3192467750907,unemployment rate in community areas
65,Englewood,68.0,24.7101472613534,unemployment rate in community areas
66,Greater Grand Crossing,69.0,19.299752633195,unemployment rate in community areas
67,Lincoln Park,7.0,3.48957308336201,unemployment rate in community areas
68,Ashburn,70.0,11.8771011596487,unemployment rate in community areas
69,Auburn Gresham,71.0,19.5629755140447,unemployment rate in community areas
70,Beverly,72.0,7.77899396170236,unemployment rate in community areas
71,Washington Heights,73.0,14.7765549596247,unemployment rate in community areas
72,Mount Greenwood,74.0,5.48333114936451,unemployment rate in community areas
73,Morgan Park,75.0,10.6542484143931,unemployment rate in community areas
74,O'Hare,76.0,4.76793224315009,unemployment rate in community areas
75,Edgewater,77.0,6.33674241093357,unemployment rate in community areas
76,Near North Side,8.0,2.74799953357242,unemployment rate in community areas
77,Edison Park,9.0,2.22985655134813,unemployment rate in community areas
1,Rogers Park,1.0,51702.5810899229,median household income in community areas
2,Norwood Park,10.0,96762.5561463996,median household income in community areas
3,Jefferson Park,11.0,84746.4909132275,median household income in community areas
4,Forest Glen,12.0,132773.52699036,median household income in community areas
5,North Park,13.0,63709.5129591303,median household income in community areas
6,Albany Park,14.0,71978.4125286356,median household income in community areas
7,Portage Park,15.0,78898.5159803236,median household income in community areas
8,Irving Park,16.0,79728.390433669,median household income in community areas
9,Dunning,17.0,78217.9574325523,median household income in community areas
10,Montclare,18.0,55998.1597388659,median household income in community areas
11,Belmont Cragin,19.0,60868.8207115341,median household income in community areas
12,West Ridge,2.0,61465.8298985407,median household income in community areas
13,Hermosa,20.0,60492.9371004903,median household income in community areas
14,Avondale,21.0,79994.6885730412,median household income in community areas
15,Logan Square,22.0,95764.4840730865,median household income in community areas
16,Humboldt Park,23.0,47907.0540669805,median household income in community areas
17,West Town,24.0,121221.637052242,median household income in community areas
18,Austin,25.0,43790.2613878405,median household income in community areas
19,West Garfield Park,26.0,33929.862468668,median household income in community areas
20,East Garfield Park,27.0,27872.2961010423,median household income in community areas
21,Near West Side,28.0,98452.8203150894,median household income in community areas
22,North Lawndale,29.0,33915.1022644167,median household income in community areas
23,Uptown,3.0,64213.3023210496,median household income in community areas
24,South Lawndale,30.0,40359.4495442491,median household income in community areas
25,Lower West Side,31.0,62962.5347009566,median household income in community areas
26,Loop,32.0,119545.18740625,median household income in community areas
27,Near South Side,33.0,111759.578776138,median household income in community areas
28,Armour Square,34.0,37851.9728927742,median household income in community areas
29,Douglas,35.0,48925.83547291,median household income in community areas
30,Oakland,36.0,30749.1184334665,median household income in community areas
31,Fuller Park,37.0,18315.6397394826,median household income in community areas
32,Grand Boulevard,38.0,43836.9014743217,median household income in community areas
33,Kenwood,39.0,51555.7777355816,median household income in community areas
34,Lincoln Square,4.0,84401.2262570264,median household income in community areas
35,Washington Park,40.0,25189.9437891151,median household income in community areas
36,Hyde Park,41.0,71216.3632561484,median household income in community areas
37,Woodlawn,42.0,33516.9471059749,median household income in community areas
38,South Shore,43.0,36608.3289172712,median household income in community areas
39,Chatham,44.0,41453.6479304282,median household income in community areas
40,Avalon Park,45.0,53070.0857075135,median household income in community areas
41,South Chicago,46.0,41043.4395431671,median household income in community areas
42,Burnside,47.0,45296.009293376,median household income in community areas
43,Calumet Heights,48.0,68117.7035851219,median household income in community areas
44,Roseland,49.0,46307.2722468859,median household income in community areas
45,North Center,5.0,142241.306042457,median household income in community areas
46,Pullman,50.0,55081.1958279608,median household income in community areas
47,South Deering,51.0,37015.6003917535,median household income in community areas
48,East Side,52.0,57742.887796712,median household income in community areas
49,West Pullman,53.0,48287.4471081467,median household income in community areas
50,Riverdale,54.0,19527.8390088707,median household income in community areas
51,Hegewisch,55.0,59340.6811482714,median household income in community areas
52,Garfield Ridge,56.0,84303.172255932,median household income in community areas
53,Archer Heights,57.0,51678.2941499196,median household income in community areas
54,Brighton Park,58.0,47131.9315939676,median household income in community areas
55,McKinley Park,59.0,65000.0583065096,median household income in community areas
56,Lake View,6.0,110224.025811493,median household income in community areas
57,Bridgeport,60.0,69872.1234969528,median household income in community areas
58,New City,61.0,40159.6381936672,median household income in community areas
59,West Elsdon,62.0,56894.3912851826,median household income in community areas
60,Gage Park,63.0,45000.1554742539,median household income in community areas
61,Clearing,64.0,63894.8315166439,median household income in community areas
62,West Lawn,65.0,64686.081105261,median household income in community areas
63,Chicago Lawn,66.0,40214.2097606439,median household income in community areas
64,West Englewood,67.0,28979.1695504818,median household income in community areas
65,Englewood,68.0,25670.6608390665,median household income in community areas
66,Greater Grand Crossing,69.0,34700.9368462343,median household income in community areas
67,Lincoln Park,7.0,151341.878210618,median household income in community areas
68,Ashburn,70.0,72500.7761645324,median household income in community areas
69,Auburn Gresham,71.0,39607.9783737991,median household income in community areas
70,Beverly,72.0,113753.421143429,median household income in community areas
71,Washington Heights,73.0,57781.7432082216,median household income in community areas
72,Mount Greenwood,74.0,108192.508505031,median household income in community areas
73,Morgan Park,75.0,67532.816547815,median household income in community areas
74,O'Hare,76.0,61918.2206085312,median household income in community areas
75,Edgewater,77.0,70026.7511845599,median household income in community areas
76,Near North Side,8.0,117731.25188738,median household income in community areas
77,Edison Park,9.0,113380.718359436,median household income in community areas
1,Rogers Park,1.0,14.2842078135534,uninsured rate in community areas
2,Norwood Park,10.0,4.07603859309759,uninsured rate in community areas
3,Jefferson Park,11.0,7.80114311355419,uninsured rate in community areas
4,Forest Glen,12.0,6.84613137370861,uninsured rate in community areas
5,North Park,13.0,9.69852639315237,uninsured rate in community areas
6,Albany Park,14.0,17.1584564016772,uninsured rate in community areas
7,Portage Park,15.0,13.1230296970216,uninsured rate in community areas
8,Irving Park,16.0,10.5921487297554,uninsured rate in community areas
9,Dunning,17.0,10.3224678406261,uninsured rate in community areas
10,Montclare,18.0,8.98201045907206,uninsured rate in community areas
11,Belmont Cragin,19.0,17.2833989906795,uninsured rate in community areas
12,West Ridge,2.0,14.477864435223,uninsured rate in community areas
13,Hermosa,20.0,17.6343493519426,uninsured rate in community areas
14,Avondale,21.0,14.7908735734434,uninsured rate in community areas
15,Logan Square,22.0,7.45166005840926,uninsured rate in community areas
16,Humboldt Park,23.0,14.8906248356451,uninsured rate in community areas
17,West Town,24.0,5.07663888734508,uninsured rate in community areas
18,Austin,25.0,10.9156340651195,uninsured rate in community areas
19,West Garfield Park,26.0,8.9817178395417,uninsured rate in community areas
20,East Garfield Park,27.0,9.74564420359085,uninsured rate in community areas
21,Near West Side,28.0,4.03820071496393,uninsured rate in community areas
22,North Lawndale,29.0,11.6182821372489,uninsured rate in community areas
23,Uptown,3.0,9.6208057440129,uninsured rate in community areas
24,South Lawndale,30.0,20.2645330169711,uninsured rate in community areas
25,Lower West Side,31.0,13.1200757019615,uninsured rate in community areas
26,Loop,32.0,2.83014402706213,uninsured rate in community areas
27,Near South Side,33.0,3.73364990623153,uninsured rate in community areas
28,Armour Square,34.0,8.84097804699684,uninsured rate in community areas
29,Douglas,35.0,7.98459947874697,uninsured rate in community areas
30,Oakland,36.0,8.99140140162144,uninsured rate in community areas
31,Fuller Park,37.0,3.4907780927195,uninsured rate in community areas
32,Grand Boulevard,38.0,6.75537953269251,uninsured rate in community areas
33,Kenwood,39.0,7.40070935856363,uninsured rate in community areas
34,Lincoln Square,4.0,9.10465654494593,uninsured rate in community areas
35,Washington Park,40.0,9.06751695771903,uninsured rate in community areas
36,Hyde Park,41.0,5.20256909301051,uninsured rate in community areas
37,Woodlawn,42.0,9.34549814457908,uninsured rate in community areas
38,South Shore,43.0,7.66967932983196,uninsured rate in community areas
39,Chatham,44.0,10.3336890327565,uninsured rate in community areas
40,Avalon Park,45.0,8.96002392262081,uninsured rate in community areas
41,South Chicago,46.0,9.71512803427964,uninsured rate in community areas
42,Burnside,47.0,18.1135001181013,uninsured rate in community areas
43,Calumet Heights,48.0,5.88556314965423,uninsured rate in community areas
44,Roseland,49.0,9.70640753169591,uninsured rate in community areas
45,North Center,5.0,2.55506304444803,uninsured rate in community areas
