Layer,Name,GEOID,Longitude,Latitude
Community area,Rogers Park,1,-87.67017100,42.00963000
Community area,Norwood Park,10,-87.80345100,41.98524800
Community area,Jefferson Park,11,-87.77116500,41.97883600
Community area,Forest Glen,12,-87.75835800,41.99393800
Community area,North Park,13,-87.72357800,41.98365100
Community area,Albany Park,14,-87.72155800,41.96807800
Community area,Portage Park,15,-87.76340100,41.95404300
Community area,Irving Park,16,-87.72345700,41.95358900
Community area,Dunning,17,-87.80601500,41.94652200
Community area,Montclare,18,-87.79803300,41.92930600
Community area,Belmont Cragin,19,-87.76550200,41.92727500
Community area,West Ridge,2,-87.69501700,42.00158300
Community area,Hermosa,20,-87.73474100,41.92435300
Community area,Avondale,21,-87.71121900,41.93867300
Community area,Logan Square,22,-87.69914900,41.92276800
Community area,Humboldt Park,23,-87.72091700,41.90008000
Community area,West Town,24,-87.67635800,41.90121600
Community area,Austin,25,-87.76311700,41.89411300
Community area,West Garfield Park,26,-87.73023300,41.87860200
Community area,East Garfield Park,27,-87.70589200,41.87892300
Community area,Near West Side,28,-87.66351300,41.87401600
Community area,North Lawndale,29,-87.71721800,41.86019700
Community area,Uptown,3,-87.65589900,41.96582200
Community area,South Lawndale,30,-87.71400000,41.83909100
Community area,Lower West Side,31,-87.66757000,41.85027700
Community area,Loop,32,-87.62519400,41.87888100
Community area,Near South Side,33,-87.62034400,41.85719600
Community area,Armour Square,34,-87.63397600,41.84208300
Community area,Douglas,35,-87.61868000,41.83512200
Community area,Oakland,36,-87.60321700,41.82375400
Community area,Fuller Park,37,-87.63242700,41.80908200
Community area,Grand Boulevard,38,-87.61786000,41.81294700
Community area,Kenwood,39,-87.59618600,41.80891800
Community area,Lincoln Square,4,-87.68751300,41.97518200
Community area,Washington Park,40,-87.61793600,41.79235600
Community area,Hyde Park,41,-87.59230500,41.79408800
Community area,Woodlawn,42,-87.59492400,41.77887700
Community area,South Shore,43,-87.57279000,41.76158300
Community area,Chatham,44,-87.61596500,41.74020600
Community area,Avalon Park,45,-87.58634700,41.74419700
Community area,South Chicago,46,-87.55143500,41.74124300
Community area,Burnside,47,-87.59647000,41.72818100
Community area,Calumet Heights,48,-87.57272000,41.72967300
Community area,Roseland,49,-87.62336600,41.70658800
Community area,North Center,5,-87.68383900,41.94781100
Community area,Pullman,50,-87.59825200,41.70613100
Community area,South Deering,51,-87.57005800,41.69063900
Community area,East Side,52,-87.53490700,41.70730600
Community area,West Pullman,53,-87.63574500,41.67382000
Community area,Riverdale,54,-87.60284900,41.66013700
Community area,Hegewisch,55,-87.55680300,41.66818800
Community area,Garfield Ridge,56,-87.76424600,41.79618500
Community area,Archer Heights,57,-87.72636500,41.81087300
Community area,Brighton Park,58,-87.69885900,41.81736400
Community area,McKinley Park,59,-87.67250000,41.82992700
Community area,Lake View,6,-87.65600100,41.94423600
Community area,Bridgeport,60,-87.64878400,41.83615100
Community area,New City,61,-87.65917100,41.80901700
Community area,West Elsdon,62,-87.72421300,41.79297700
Community area,Gage Park,63,-87.69643300,41.79542900
Community area,Clearing,64,-87.76851700,41.77958200
Community area,West Lawn,65,-87.72692700,41.76977400
Community area,Chicago Lawn,66,-87.69566700,41.77184900
Community area,West Englewood,67,-87.66659800,41.77592600
Community area,Englewood,68,-87.64250200,41.77720100
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100
Community area,Lincoln Park,7,-87.64949100,41.92269600
Community area,Ashburn,70,-87.70836300,41.74575600
Community area,Auburn Gresham,71,-87.65630500,41.74420300
Community area,Beverly,72,-87.67507200,41.71314800
Community area,Washington Heights,73,-87.64889700,41.71749500
Community area,Mount Greenwood,74,-87.71318900,41.69487600
Community area,Morgan Park,75,-87.66906200,41.68972900
Community area,O'Hare,76,-87.89369900,41.97569600
Community area,Edgewater,77,-87.66341900,41.98671900
Community area,Near North Side,8,-87.63331800,41.89961100
Community area,Edison Park,9,-87.81378000,42.00762700
