,GEOID,Longitude,Latitude,indicator,value,bin_value_bin
0,17031010100,-87.6698316,42.0212564,"Uninsured rate (% of residents), 2015-2019",7.868415203,1.0
1,17031010201,-87.6801484,42.0160077,"Uninsured rate (% of residents), 2015-2019",11.78605026,2.0
2,17031010202,-87.6733216,42.0160507,"Uninsured rate (% of residents), 2015-2019",21.76105508,3.0
3,17031010300,-87.6665351,42.0159407,"Uninsured rate (% of residents), 2015-2019",13.42318059,3.0
4,17031010400,-87.6588157,42.0064109,"Uninsured rate (% of residents), 2015-2019",6.982543641,1.0
5,17031010501,-87.6639583,42.0094119,"Uninsured rate (% of residents), 2015-2019",11.54785156,2.0
6,17031010502,-87.6633273,42.0045173,"Uninsured rate (% of residents), 2015-2019",11.42764649,2.0
7,17031010503,-87.6631262,42.0003207,"Uninsured rate (% of residents), 2015-2019",2.957589286,0.0
8,17031010600,-87.667683,42.0062774,"Uninsured rate (% of residents), 2015-2019",20.51981389,3.0
9,17031010701,-87.6786204,42.0091482,"Uninsured rate (% of residents), 2015-2019",13.86740331,3.0
10,17031010702,-87.6727257,42.0090199,"Uninsured rate (% of residents), 2015-2019",13.93054459,3.0
11,17031020100,-87.6871169,42.015721,"Uninsured rate (% of residents), 2015-2019",16.41791045,3.0
12,17031020200,-87.6995191,42.0156903,"Uninsured rate (% of residents), 2015-2019",12.26608187,2.0
13,17031020301,-87.7051865,42.0068651,"Uninsured rate (% of residents), 2015-2019",8.22808321,1.0
14,17031020302,-87.6949634,42.0085406,"Uninsured rate (% of residents), 2015-2019",6.292087542,1.0
15,17031020400,-87.6859118,42.008488,"Uninsured rate (% of residents), 2015-2019",9.593228309,2.0
16,17031020500,-87.6841982,42.0013129,"Uninsured rate (% of residents), 2015-2019",18.1985013,3.0
17,17031020601,-87.7018025,42.0008746,"Uninsured rate (% of residents), 2015-2019",10.92720307,2.0
18,17031020602,-87.6936373,42.0013156,"Uninsured rate (% of residents), 2015-2019",16.04210526,3.0
19,17031020701,-87.7036897,41.9868915,"Uninsured rate (% of residents), 2015-2019",4.609544469,1.0
20,17031020702,-87.7048939,41.9941256,"Uninsured rate (% of residents), 2015-2019",7.341961175,1.0
21,17031020801,-87.6944149,41.9868081,"Uninsured rate (% of residents), 2015-2019",13.91093117,3.0
22,17031020802,-87.6946306,41.9940592,"Uninsured rate (% of residents), 2015-2019",14.31102113,3.0
23,17031020901,-87.6864264,41.9950577,"Uninsured rate (% of residents), 2015-2019",16.75060926,3.0
24,17031020902,-87.6786971,41.9942499,"Uninsured rate (% of residents), 2015-2019",13.87371641,3.0
25,17031030101,-87.655042,41.9913475,"Uninsured rate (% of residents), 2015-2019",10.15085656,2.0
26,17031030102,-87.6550225,41.9930264,"Uninsured rate (% of residents), 2015-2019",6.227630637,1.0
27,17031030103,-87.6551527,41.9955241,"Uninsured rate (% of residents), 2015-2019",4.058876004,0.0
28,17031030104,-87.6559864,41.9972773,"Uninsured rate (% of residents), 2015-2019",9.234828496,2.0
29,17031030200,-87.66523,41.9944414,"Uninsured rate (% of residents), 2015-2019",3.865073788,0.0
30,17031030300,-87.6725348,41.9943875,"Uninsured rate (% of residents), 2015-2019",13.00191205,2.0
31,17031030400,-87.6720788,41.9869515,"Uninsured rate (% of residents), 2015-2019",8.969973394,2.0
32,17031030500,-87.6649359,41.987226,"Uninsured rate (% of residents), 2015-2019",4.104028863,0.0
33,17031030601,-87.6549042,41.9888802,"Uninsured rate (% of residents), 2015-2019",11.82592242,2.0
34,17031030603,-87.6583979,41.9854762,"Uninsured rate (% of residents), 2015-2019",14.77178423,3.0
35,17031030604,-87.6525371,41.9856608,"Uninsured rate (% of residents), 2015-2019",8.53042785,2.0
36,17031030701,-87.6579659,41.9827453,"Uninsured rate (% of residents), 2015-2019",9.472259811,2.0
37,17031030702,-87.6548217,41.9806894,"Uninsured rate (% of residents), 2015-2019",5.744007237,1.0
38,17031030703,-87.6578708,41.9788748,"Uninsured rate (% of residents), 2015-2019",7.329487615,1.0
39,17031030706,-87.6509792,41.9804694,"Uninsured rate (% of residents), 2015-2019",11.98594025,2.0
40,17031030800,-87.664188,41.9799123,"Uninsured rate (% of residents), 2015-2019",1.754825771,0.0
41,17031030900,-87.6714454,41.9797951,"Uninsured rate (% of residents), 2015-2019",7.933461292,1.0
42,17031031000,-87.6711094,41.972437,"Uninsured rate (% of residents), 2015-2019",8.560411311,2.0
43,17031031100,-87.6638662,41.9726684,"Uninsured rate (% of residents), 2015-2019",4.655172414,1.0
44,17031031200,-87.657341,41.9727092,"Uninsured rate (% of residents), 2015-2019",14.62691484,3.0
45,17031031300,-87.6465298,41.9737646,"Uninsured rate (% of residents), 2015-2019",9.80740336,2.0
46,17031031400,-87.6424095,41.9584475,"Uninsured rate (% of residents), 2015-2019",4.88006617,1.0
47,17031031501,-87.6524344,41.9672885,"Uninsured rate (% of residents), 2015-2019",10.5734767,2.0
48,17031031502,-87.6523656,41.9636326,"Uninsured rate (% of residents), 2015-2019",17.01849837,3.0
49,17031031700,-87.6631954,41.9654466,"Uninsured rate (% of residents), 2015-2019",4.666166542,1.0
50,17031031800,-87.6706209,41.9670114,"Uninsured rate (% of residents), 2015-2019",6.934886183,1.0
51,17031031900,-87.6701841,41.963374,"Uninsured rate (% of residents), 2015-2019",3.870211102,0.0
52,17031032100,-87.6530179,41.9581538,"Uninsured rate (% of residents), 2015-2019",6.85147946,1.0
53,17031040100,-87.6829955,41.9854807,"Uninsured rate (% of residents), 2015-2019",7.948523846,1.0
54,17031040201,-87.6940005,41.9725804,"Uninsured rate (% of residents), 2015-2019",4.490754329,1.0
55,17031040202,-87.694096,41.9798549,"Uninsured rate (% of residents), 2015-2019",18.13541107,3.0
56,17031040300,-87.7019748,41.9768011,"Uninsured rate (% of residents), 2015-2019",7.437150838,1.0
57,17031040401,-87.6860816,41.9720667,"Uninsured rate (% of residents), 2015-2019",5.138461538,1.0
58,17031040402,-87.678818,41.972545,"Uninsured rate (% of residents), 2015-2019",4.384943733,1.0
59,17031040600,-87.6840181,41.9668338,"Uninsured rate (% of residents), 2015-2019",11.89106252,2.0
60,17031040700,-87.6940868,41.9668044,"Uninsured rate (% of residents), 2015-2019",5.909752547,1.0
61,17031040800,-87.6922993,41.9631612,"Uninsured rate (% of residents), 2015-2019",3.841309824,0.0
62,17031040900,-87.6838544,41.9631847,"Uninsured rate (% of residents), 2015-2019",8.245798319,1.0
63,17031050100,-87.676373,41.9578451,"Uninsured rate (% of residents), 2015-2019",2.631578947,0.0
