,ADDRESS,CITY,STATE,ZIP,full_address,coords,type
0,1713 S. Ashland Ave.,Chicago,IL,60608,"1713 S. Ashland Ave., Chicago, IL, 60608","(41.85859418201153, -87.6660674613758)",neighborhood_health_clinics
1,2938 E. 89th St.,Chicago,IL,60617,"2938 E. 89th St., Chicago, IL, 60617","(41.733735602176786, -87.55257057910126)",neighborhood_health_clinics
2,3059 W. 26th St.,Chicago,IL,60623,"3059 W. 26th St., Chicago, IL, 60623","(41.84364547069314, -87.7019192211315)",neighborhood_health_clinics
3,200 E. 115th St.,Chicago,IL,60628,"200 E. 115th St., Chicago, IL, 60628","(41.68540464454324, -87.61804579760663)",neighborhood_health_clinics
4,641 W. 63rd St.,Chicago,IL,60621,"641 W. 63rd St., Chicago, IL, 60621","(41.779780316087795, -87.64157740963851)",neighborhood_health_clinics
5,845 W. Wilson Ave.,Chicago,IL,60640,"845 W. Wilson Ave., Chicago, IL, 60640","(41.96548927279645, -87.65107031162161)",neighborhood_health_clinics
6,2418 W. Division St.,Chicago,IL,60622,"2418 W. Division St., Chicago, IL, 60622","(41.90336045343866, -87.68771892628885)",neighborhood_health_clinics
0,324 S DESPLAINES ST,CHICAGO,IL,60661,"324 S DESPLAINES ST, CHICAGO, IL, 60661","(41.877028304420755, -87.64430865193455)",fire_stations
1,5343 N CUMBERLAND AVE,CHICAGO,IL,60656,"5343 N CUMBERLAND AVE, CHICAGO, IL, 60656","(41.97685625348317, -87.836495886321)",fire_stations
2,10458 S HOXIE AVE,CHICAGO,IL,60617,"10458 S HOXIE AVE, CHICAGO, IL, 60617","(41.705334319654064, -87.56088524816063)",fire_stations
3,605 W ARMITAGE AVE,CHICAGO,IL,60614,"605 W ARMITAGE AVE, CHICAGO, IL, 60614","(41.91792047709303, -87.64396690956342)",fire_stations
4,5000 S UNION AVE,CHICAGO,IL,60609,"5000 S UNION AVE, CHICAGO, IL, 60609","(41.80344788181221, -87.64299386409898)",fire_stations
5,5258 W GRAND AVE,CHICAGO,IL,60639,"5258 W GRAND AVE, CHICAGO, IL, 60639","(41.91725086259721, -87.75747321069997)",fire_stations
6,4911 W BELMONT AVE,CHICAGO,IL,60641,"4911 W BELMONT AVE, CHICAGO, IL, 60641","(41.9387854993556, -87.74963764827827)",fire_stations
7,2827 N PULASKI RD,CHICAGO,IL,60641,"2827 N PULASKI RD, CHICAGO, IL, 60641","(41.93223675592729, -87.72695711402253)",fire_stations
8,3112 W 111TH ST,CHICAGO,IL,60655,"3112 W 111TH ST, CHICAGO, IL, 60655","(41.6916111688133, -87.69891865020873)",fire_stations
9,3945 W PETERSON AVE,CHICAGO,IL,60659,"3945 W PETERSON AVE, CHICAGO, IL, 60659","(41.990056658779615, -87.72568030374029)",fire_stations
10,432 E MARQUETTE RD,CHICAGO,IL,60637,"432 E MARQUETTE RD, CHICAGO, IL, 60637","(41.77300015277593, -87.6141755209756)",fire_stations
11,6030 N CLARK ST,CHICAGO,IL,60660,"6030 N CLARK ST, CHICAGO, IL, 60660","(41.99185705844965, -87.6702338230154)",fire_stations
12,2534 S THROOP ST,CHICAGO,IL,60608,"2534 S THROOP ST, CHICAGO, IL, 60608","(41.84557901305613, -87.65633258746628)",fire_stations
13,412 N KEDZIE AVE,CHICAGO,IL,60612,"412 N KEDZIE AVE, CHICAGO, IL, 60612","(41.888791436564, -87.70657770924328)",fire_stations
14,2358 S WHIPPLE ST,CHICAGO,IL,60623,"2358 S WHIPPLE ST, CHICAGO, IL, 60623","(41.84833993168608, -87.70181130248798)",fire_stations
15,6030 N AVONDALE AVE,CHICAGO,IL,60631,"6030 N AVONDALE AVE, CHICAGO, IL, 60631","(41.99120656361649, -87.79879483457952)",fire_stations
16,2214 W BARRY AVE,CHICAGO,IL,60618,"2214 W BARRY AVE, CHICAGO, IL, 60618","(41.93769629431298, -87.68576576945844)",fire_stations
17,8120 S ASHLAND AVE,CHICAGO,IL,60620,"8120 S ASHLAND AVE, CHICAGO, IL, 60620","(41.746304611153825, -87.66346152532664)",fire_stations
18,1200 W WILSON AVE,CHICAGO,IL,60640,"1200 W WILSON AVE, CHICAGO, IL, 60640","(41.96563850396769, -87.65997484168496)",fire_stations
19,212 W CERMAK RD,CHICAGO,IL,60616,"212 W CERMAK RD, CHICAGO, IL, 60616","(41.85313331810226, -87.63235666216515)",fire_stations
20,8630 S EMERALD AVE,CHICAGO,IL,60620,"8630 S EMERALD AVE, CHICAGO, IL, 60620","(41.73693577387957, -87.64245532798658)",fire_stations
21,1129 W CHICAGO AVE,CHICAGO,IL,60642,"1129 W CHICAGO AVE, CHICAGO, IL, 60642","(41.895977019578105, -87.65622466882277)",fire_stations
22,6239 N CALIFORNIA AVE,CHICAGO,IL,60659,"6239 N CALIFORNIA AVE, CHICAGO, IL, 60659","(41.99514651466264, -87.69953001132356)",fire_stations
