,Layer,Name,GEOID,UMP_2017-2021,type,INC_2017-2021,UNS_2017-2021,SVI_2020,HCSHCP_2020-2021,HCSNCP_2020-2021
0,nan,nan,nan,"Unemployment rate (%), 2017-2021",unemployment rate in community areas,,,,,
2,Community area,Norwood Park,10.0,4.46145864075147,unemployment rate in community areas,,,,,
3,Community area,Jefferson Park,11.0,5.73052840828009,unemployment rate in community areas,,,,,
4,Community area,Forest Glen,12.0,4.39151500768578,unemployment rate in community areas,,,,,
5,Community area,North Park,13.0,3.57956283403335,unemployment rate in community areas,,,,,
6,Community area,Albany Park,14.0,6.6660517385112,unemployment rate in community areas,,,,,
7,Community area,Portage Park,15.0,5.61781630141782,unemployment rate in community areas,,,,,
8,Community area,Irving Park,16.0,6.44524550127912,unemployment rate in community areas,,,,,
9,Community area,Dunning,17.0,4.89400825511832,unemployment rate in community areas,,,,,
10,Community area,Montclare,18.0,5.36229404666811,unemployment rate in community areas,,,,,
11,Community area,Belmont Cragin,19.0,5.36610753620452,unemployment rate in community areas,,,,,
12,Community area,West Ridge,2.0,6.66286994248274,unemployment rate in community areas,,,,,
13,Community area,Hermosa,20.0,4.78152963372372,unemployment rate in community areas,,,,,
14,Community area,Avondale,21.0,5.01250923021485,unemployment rate in community areas,,,,,
15,Community area,Logan Square,22.0,3.78858402046115,unemployment rate in community areas,,,,,
16,Community area,Humboldt Park,23.0,10.9355354765512,unemployment rate in community areas,,,,,
17,Community area,West Town,24.0,3.49830922227855,unemployment rate in community areas,,,,,
18,Community area,Austin,25.0,13.7568115272227,unemployment rate in community areas,,,,,
19,Community area,West Garfield Park,26.0,22.697513649178,unemployment rate in community areas,,,,,
20,Community area,East Garfield Park,27.0,20.2887735825669,unemployment rate in community areas,,,,,
21,Community area,Near West Side,28.0,7.07704746995199,unemployment rate in community areas,,,,,
22,Community area,North Lawndale,29.0,17.8995419379258,unemployment rate in community areas,,,,,
23,Community area,Uptown,3.0,4.30789333291623,unemployment rate in community areas,,,,,
24,Community area,South Lawndale,30.0,10.4844858908713,unemployment rate in community areas,,,,,
25,Community area,Lower West Side,31.0,6.34333277150737,unemployment rate in community areas,,,,,
26,Community area,Loop,32.0,6.29411226675247,unemployment rate in community areas,,,,,
27,Community area,Near South Side,33.0,2.0390077110256,unemployment rate in community areas,,,,,
28,Community area,Armour Square,34.0,7.95256594079494,unemployment rate in community areas,,,,,
29,Community area,Douglas,35.0,16.3414062717478,unemployment rate in community areas,,,,,
30,Community area,Oakland,36.0,25.6771060386471,unemployment rate in community areas,,,,,
31,Community area,Fuller Park,37.0,32.5187393179432,unemployment rate in community areas,,,,,
32,Community area,Grand Boulevard,38.0,14.707791360845,unemployment rate in community areas,,,,,
33,Community area,Kenwood,39.0,12.1722392765048,unemployment rate in community areas,,,,,
34,Community area,Lincoln Square,4.0,5.8655543256256,unemployment rate in community areas,,,,,
35,Community area,Washington Park,40.0,20.8443199249466,unemployment rate in community areas,,,,,
36,Community area,Hyde Park,41.0,7.90557276445455,unemployment rate in community areas,,,,,
37,Community area,Woodlawn,42.0,18.5140606090522,unemployment rate in community areas,,,,,
38,Community area,South Shore,43.0,16.9699076272087,unemployment rate in community areas,,,,,
39,Community area,Chatham,44.0,14.3251640227359,unemployment rate in community areas,,,,,
40,Community area,Avalon Park,45.0,13.4687030080198,unemployment rate in community areas,,,,,
41,Community area,South Chicago,46.0,16.9582924858769,unemployment rate in community areas,,,,,
42,Community area,Burnside,47.0,21.4545049750991,unemployment rate in community areas,,,,,
43,Community area,Calumet Heights,48.0,9.13981030256416,unemployment rate in community areas,,,,,
44,Community area,Roseland,49.0,18.7057973018428,unemployment rate in community areas,,,,,
45,Community area,North Center,5.0,3.65863010946593,unemployment rate in community areas,,,,,
46,Community area,Pullman,50.0,15.3831168054232,unemployment rate in community areas,,,,,
47,Community area,South Deering,51.0,13.5134220738204,unemployment rate in community areas,,,,,
48,Community area,East Side,52.0,8.01710182714881,unemployment rate in community areas,,,,,
49,Community area,West Pullman,53.0,19.4019968277389,unemployment rate in community areas,,,,,
50,Community area,Riverdale,54.0,26.2904610024443,unemployment rate in community areas,,,,,
51,Community area,Hegewisch,55.0,11.3136859135071,unemployment rate in community areas,,,,,
52,Community area,Garfield Ridge,56.0,7.52493402806952,unemployment rate in community areas,,,,,
53,Community area,Archer Heights,57.0,11.4034498870654,unemployment rate in community areas,,,,,
54,Community area,Brighton Park,58.0,9.62738692092789,unemployment rate in community areas,,,,,
55,Community area,McKinley Park,59.0,7.4910573237985,unemployment rate in community areas,,,,,
56,Community area,Lake View,6.0,3.86199215947888,unemployment rate in community areas,,,,,
57,Community area,Bridgeport,60.0,6.44017714309606,unemployment rate in community areas,,,,,
58,Community area,New City,61.0,15.3776168428787,unemployment rate in community areas,,,,,
59,Community area,West Elsdon,62.0,10.2833078597164,unemployment rate in community areas,,,,,
60,Community area,Gage Park,63.0,16.2090417944579,unemployment rate in community areas,,,,,
61,Community area,Clearing,64.0,8.4795689008772,unemployment rate in community areas,,,,,
62,Community area,West Lawn,65.0,10.3934167046639,unemployment rate in community areas,,,,,
63,Community area,Chicago Lawn,66.0,18.1550417329556,unemployment rate in community areas,,,,,
64,Community area,West Englewood,67.0,23.3192467750907,unemployment rate in community areas,,,,,
65,Community area,Englewood,68.0,24.7101472613534,unemployment rate in community areas,,,,,
66,Community area,Greater Grand Crossing,69.0,19.299752633195,unemployment rate in community areas,,,,,
67,Community area,Lincoln Park,7.0,3.48957308336201,unemployment rate in community areas,,,,,
68,Community area,Ashburn,70.0,11.8771011596487,unemployment rate in community areas,,,,,
69,Community area,Auburn Gresham,71.0,19.5629755140447,unemployment rate in community areas,,,,,
70,Community area,Beverly,72.0,7.77899396170236,unemployment rate in community areas,,,,,
71,Community area,Washington Heights,73.0,14.7765549596247,unemployment rate in community areas,,,,,
72,Community area,Mount Greenwood,74.0,5.48333114936451,unemployment rate in community areas,,,,,
73,Community area,Morgan Park,75.0,10.6542484143931,unemployment rate in community areas,,,,,
74,Community area,O'Hare,76.0,4.76793224315009,unemployment rate in community areas,,,,,
75,Community area,Edgewater,77.0,6.33674241093357,unemployment rate in community areas,,,,,
76,Community area,Near North Side,8.0,2.74799953357242,unemployment rate in community areas,,,,,
77,Community area,Edison Park,9.0,2.22985655134813,unemployment rate in community areas,,,,,
0,nan,nan,nan,,median household income in community areas,"Median household income, 2017-2021",,,,
2,Community area,Norwood Park,10.0,,median household income in community areas,96762.5561463996,,,,
3,Community area,Jefferson Park,11.0,,median household income in community areas,84746.4909132275,,,,
4,Community area,Forest Glen,12.0,,median household income in community areas,132773.52699036,,,,
5,Community area,North Park,13.0,,median household income in community areas,63709.5129591303,,,,
6,Community area,Albany Park,14.0,,median household income in community areas,71978.4125286356,,,,
7,Community area,Portage Park,15.0,,median household income in community areas,78898.5159803236,,,,
8,Community area,Irving Park,16.0,,median household income in community areas,79728.390433669,,,,
9,Community area,Dunning,17.0,,median household income in community areas,78217.9574325523,,,,
