,full_address,coords,category
0,"324 S DESPLAINES ST, CHICAGO, IL, 60661","41.877028304420755, -87.64430865193455",Fire station
1,"5343 N CUMBERLAND AVE, CHICAGO, IL, 60656","41.97685625348317, -87.836495886321",Fire station
2,"10458 S HOXIE AVE, CHICAGO, IL, 60617","41.705334319654064, -87.56088524816063",Fire station
3,"605 W ARMITAGE AVE, CHICAGO, IL, 60614","41.91792047709303, -87.64396690956342",Fire station
4,"5000 S UNION AVE, CHICAGO, IL, 60609","41.80344788181221, -87.64299386409898",Fire station
5,"5258 W GRAND AVE, CHICAGO, IL, 60639","41.91725086259721, -87.75747321069997",Fire station
6,"4911 W BELMONT AVE, CHICAGO, IL, 60641","41.9387854993556, -87.74963764827827",Fire station
7,"2827 N PULASKI RD, CHICAGO, IL, 60641","41.93223675592729, -87.72695711402253",Fire station
8,"3112 W 111TH ST, CHICAGO, IL, 60655","41.6916111688133, -87.69891865020873",Fire station
9,"3945 W PETERSON AVE, CHICAGO, IL, 60659","41.990056658779615, -87.72568030374029",Fire station
10,"432 E MARQUETTE RD, CHICAGO, IL, 60637","41.77300015277593, -87.6141755209756",Fire station
11,"6030 N CLARK ST, CHICAGO, IL, 60660","41.99185705844965, -87.6702338230154",Fire station
12,"2534 S THROOP ST, CHICAGO, IL, 60608","41.84557901305613, -87.65633258746628",Fire station
13,"412 N KEDZIE AVE, CHICAGO, IL, 60612","41.888791436564, -87.70657770924328",Fire station
14,"2358 S WHIPPLE ST, CHICAGO, IL, 60623","41.84833993168608, -87.70181130248798",Fire station
15,"6030 N AVONDALE AVE, CHICAGO, IL, 60631","41.99120656361649, -87.79879483457952",Fire station
16,"2214 W BARRY AVE, CHICAGO, IL, 60618","41.93769629431298, -87.68576576945844",Fire station
17,"8120 S ASHLAND AVE, CHICAGO, IL, 60620","41.746304611153825, -87.66346152532664",Fire station
18,"1200 W WILSON AVE, CHICAGO, IL, 60640","41.96563850396769, -87.65997484168496",Fire station
19,"212 W CERMAK RD, CHICAGO, IL, 60616","41.85313331810226, -87.63235666216515",Fire station
20,"8630 S EMERALD AVE, CHICAGO, IL, 60620","41.73693577387957, -87.64245532798658",Fire station
21,"1129 W CHICAGO AVE, CHICAGO, IL, 60642","41.895977019578105, -87.65622466882277",Fire station
22,"6239 N CALIFORNIA AVE, CHICAGO, IL, 60659","41.99514651466264, -87.69953001132356",Fire station
23,"4625 N MILWAUKEE AVE, CHICAGO, IL, 60630","41.964650420624565, -87.75785762001762",Fire station
24,"1915 S DAMEN AVE, CHICAGO, IL, 60608","41.85561895838222, -87.67592085764691",Fire station
25,"1360 N BLUE ISLAND AVE, CHICAGO, IL, 60608","41.864503979120165, -87.65556796459875",Fire station
26,"3401 N ELSTON AVE, CHICAGO, IL, 60618","41.943065521032246, -87.7032142448537",Fire station
27,"4005 S DEARBORN ST, CHICAGO, IL, 60609","41.821900941759, -87.62749769240351",Fire station
28,"419 S WELLS ST, CHICAGO, IL, 60607","41.87604804340882, -87.63333692317708",Fire station
29,"5955 S ASHLAND AVE, CHICAGO, IL, 60636","41.78569136830025, -87.66426233667036",Fire station
30,"4900 W CHICAGO AVE, CHICAGO, IL, 60651","41.895036609573054, -87.74827707033056",Fire station
31,"3801 N DAMEN AVE, CHICAGO, IL, 60618","41.95075472438277, -87.67830302464209",Fire station
32,"7340 N CLARK ST, CHICAGO, IL, 60626","42.014640160686284, -87.67502361090747",Fire station
33,"2240 W 69TH ST, CHICAGO, IL, 60636","41.768394081407024, -87.67985164411793",Fire station
34,"3002 W 42ND ST, CHICAGO, IL, 60632","41.8172974388628, -87.69950400664642",Fire station
35,"4003 W WEST END AVE, CHICAGO, IL, 60624","41.88334382548296, -87.72576410502936",Fire station
36,"2215 W 51ST ST, CHICAGO, IL, 60609","41.801170483375124, -87.67986218548822",Fire station
37,"2322 W FOSTER AVE, CHICAGO, IL, 60625","41.97593934922963, -87.6875836047776",Fire station
38,"1150 E 55TH ST, CHICAGO, IL, 60615","41.79515197581412, -87.59751892663527",Fire station
39,"548 W DIVISION ST, CHICAGO, IL, 60610","41.903989978859165, -87.64291470278913",Fire station
40,"202 E CHICAGO AVE, CHICAGO, IL, 60611","41.89706519923356, -87.62259901814724",Fire station
41,"4426 N KEDZIE AVE, CHICAGO, IL, 60625","41.961690670919346, -87.7082930624585",Fire station
42,"11641 S AVENUE O, CHICAGO, IL, 60617","41.68384838570316, -87.5400210564776",Fire station
43,"101 E 79TH ST, CHICAGO, IL, 60619","41.75098315968846, -87.62135205388734",Fire station
44,"3918 N HARLEM AVE, CHICAGO, IL, 60634","41.95114251165066, -87.80721934061404",Fire station
45,"13359 S BURLEY AVE, CHICAGO, IL, 60633","41.652591152628624, -87.54470437664087",Fire station
46,"10615 S EWING AVE, CHICAGO, IL, 60617","41.702187603130206, -87.53522906326324",Fire station
47,"3949 W 16TH ST, CHICAGO, IL, 60623","41.85850227061717, -87.7242763667799",Fire station
48,"8026 S KEDZIE AVE, CHICAGO, IL, 60652","41.74747486194539, -87.70238006254415",Fire station
49,"7313 S KINGSTON AVE, CHICAGO, IL, 60649","41.76239663139161, -87.56393561616461",Fire station
50,"25 S LAFLIN ST, CHICAGO, IL, 60607","41.880715524740886, -87.66412071624002",Fire station
51,"5559 S NARRAGANSETT AVE, CHICAGO, IL, 60638","41.79123564423197, -87.78169288573983",Fire station
52,"1244 N WESTERN AVE, CHICAGO, IL, 60622","41.9038275429672, -87.68713245676875",Fire station
53,"1052 W WAVELAND AVE, CHICAGO, IL, 60613","41.94920789049237, -87.65640453322862",Fire station
54,"3637 W 59TH ST, CHICAGO, IL, 60629","41.785702152345344, -87.71468959394757",Fire station
55,"1101 S CALIFORNIA AVE, CHICAGO, IL, 60612","41.86810702989009, -87.6956239669264",Fire station
56,"7659 S PULASKI RD, CHICAGO, IL, 60652","41.75300608968367, -87.72192154895255",Fire station
57,"21 W 59TH ST, CHICAGO, IL, 60621","41.786898250644306, -87.62642113677177",Fire station
58,"11035 S HOMEWOOD AVE, CHICAGO, IL, 60643","41.693205775399605, -87.66882538049862",Fire station
59,"4401 S ASHLAND AVE, CHICAGO, IL, 60609","41.81404218586455, -87.66497197801137",Fire station
60,"5758 W GRACE ST, CHICAGO, IL, 60634","41.949448311266025, -87.77069385620601",Fire station
61,"1901 N DAMEN AVE, CHICAGO, IL, 60647","41.91622975167794, -87.67720585176635",Fire station
62,"11958 S STATE ST, CHICAGO, IL, 60628","41.67673026792751, -87.62265939976201",Fire station
63,"11940 S PEORIA ST, CHICAGO, IL, 60643","41.676767520058746, -87.64436386377967",Fire station
64,"55 W ILLINOIS ST, CHICAGO, IL, 60654","41.89080151108816, -87.63009284126726",Fire station
65,"2718 N HALSTED ST, CHICAGO, IL, 60614","41.93179744380986, -87.64899361595215",Fire station
66,"1440 E 67TH ST, CHICAGO, IL, 60637","41.77330654417221, -87.59020200469239",Fire station
67,"5212 W HARRISON ST, CHICAGO, IL, 60644","41.872982656337946, -87.75506878145924",Fire station
68,"1125 N ASHLAND AVE, CHICAGO, IL, 60622","41.90220932124115, -87.66707948571641",Fire station
69,"1724 W 95TH ST, CHICAGO, IL, 60643","41.72124683806391, -87.66576328672551",Fire station
70,"330 W 104TH ST, CHICAGO, IL, 60628","41.7052439476399, -87.6324331863445",Fire station
71,"12701 S DOTY AVE, CHICAGO, IL, 60633","41.66260010624714, -87.59059746685327",Fire station
72,"1747 N PULASKI RD, CHICAGO, IL, 60639","41.912618217810966, -87.72638113254548",Fire station
73,"4017 N TRIPP AVE, CHICAGO, IL, 60641","41.953786251061175, -87.7339286805089",Fire station
74,"259 N COLUMBUS DR, CHICAGO, IL, 60601","41.88646360558985, -87.62061359066273",Fire station
75,"1618 W 33RD PL, CHICAGO, IL, 60608","41.83346514532146, -87.66635103487269",Fire station
