,GEOID,Longitude,Latitude,"binUninsured rate (% of residents), 2015-2019","binHomicide (crimes), 2017-2021","binMajor crime (crimes), 2016-2020","binViolent crime (crimes), 2016-2020","binEviction rate (% of renter-occupied households), 2018","binSeverely rent-burdened (% of renter-occupied housing units), 2015-2019","binTraffic crashes (number of crashes), 2021","binHigh school graduation rate (% of residents), 2015-2019","binCollege graduation rate (% of residents), 2015-2019","binUnemployment rate (%), 2015-2019","binMedian household income, 2015-2019","binPer capita income, 2015-2019","binPoverty rate (% of residents), 2015-2019","binDemographics, Non-Hispanic White (% of residents), 2016-2020","binPopulation (residents), 2015-2019",indicator,value
0,17031010100,-87.6698316,42.0212564,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",7.868415203
1,17031010201,-87.6801484,42.0160077,2.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",11.78605026
2,17031010202,-87.6733216,42.0160507,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",21.76105508
3,17031010300,-87.6665351,42.0159407,3.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",13.42318059
4,17031010400,-87.6588157,42.0064109,1.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",6.982543641
5,17031010501,-87.6639583,42.0094119,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",11.54785156
6,17031010502,-87.6633273,42.0045173,2.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",11.42764649
7,17031010503,-87.6631262,42.0003207,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",2.957589286
8,17031010600,-87.667683,42.0062774,3.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",20.51981389
9,17031010701,-87.6786204,42.0091482,3.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",13.86740331
10,17031010702,-87.6727257,42.0090199,3.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",13.93054459
11,17031020100,-87.6871169,42.015721,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",16.41791045
12,17031020200,-87.6995191,42.0156903,2.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",12.26608187
13,17031020301,-87.7051865,42.0068651,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",8.22808321
14,17031020302,-87.6949634,42.0085406,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",6.292087542
15,17031020400,-87.6859118,42.008488,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",9.593228309
16,17031020500,-87.6841982,42.0013129,3.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3,"Uninsured rate (% of residents), 2015-2019",18.1985013
17,17031020601,-87.7018025,42.0008746,2.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",10.92720307
18,17031020602,-87.6936373,42.0013156,3.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",16.04210526
19,17031020701,-87.7036897,41.9868915,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,3.0,0,"Uninsured rate (% of residents), 2015-2019",4.609544469
20,17031020702,-87.7048939,41.9941256,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",7.341961175
21,17031020801,-87.6944149,41.9868081,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",13.91093117
22,17031020802,-87.6946306,41.9940592,3.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",14.31102113
23,17031020901,-87.6864264,41.9950577,3.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",16.75060926
24,17031020902,-87.6786971,41.9942499,3.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3,"Uninsured rate (% of residents), 2015-2019",13.87371641
25,17031030101,-87.655042,41.9913475,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",10.15085656
26,17031030102,-87.6550225,41.9930264,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",6.227630637
27,17031030103,-87.6551527,41.9955241,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1,"Uninsured rate (% of residents), 2015-2019",4.058876004
28,17031030104,-87.6559864,41.9972773,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",9.234828496
29,17031030200,-87.66523,41.9944414,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3,"Uninsured rate (% of residents), 2015-2019",3.865073788
30,17031030300,-87.6725348,41.9943875,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,"Uninsured rate (% of residents), 2015-2019",13.00191205
