Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 101,17031010100,-87.6698316,42.0212564,7.868415203,1.75,164.8,44.8,0.8,31.18971061,93,88.27884022,47.96421962,6.576475009,34445.67945,30891.22137,32.38497444,44.25064599,4599
Census tract,Tract 102.01,17031010201,-87.6801484,42.0160077,11.78605026,0,168.4,37.4,0.83,34.28988327,143,80.32949583,32.23501389,3.048596438,48410.00075,22138.19597,37.22617928,30.04807692,7455
Census tract,Tract 102.02,17031010202,-87.6733216,42.0160507,21.76105508,0.755589614,330.8,48.6,0.68,29.98859749,108.6483953,79.03145282,33.05042436,5.802968961,44004.84873,22048.03514,22.73972603,28.88395688,2896
Census tract,Tract 103,17031010300,-87.6665351,42.0159407,13.42318059,0.744410386,154.6,30.6,0.24,22.93801855,86.35160475,89.80769231,40.36538462,4.75638051,43754.51984,34638.7297,12.92003594,49.600652,6485
Census tract,Tract 104,17031010400,-87.6588157,42.0064109,6.982543641,0.25,117.6,21,0.64,28.35249042,127,96.22499056,64.66591166,7.04674221,42110.41061,24067.6377,21.43637357,67.70652802,5213
Census tract,Tract 105.01,17031010501,-87.6639583,42.0094119,11.54785156,0.4,90,16.4,0.63,24.40331223,53,96.46311971,56.34824667,7.689655172,42142.23208,34115.79689,16.69921875,49.39341421,4102
Census tract,Tract 105.02,17031010502,-87.6633273,42.0045173,11.42764649,0,66.2,8.2,0.57,27.89943228,55,93.87012987,54.12987013,3.272186415,41779.46734,28735.8472,31.16754617,51.82432432,3089
Census tract,Tract 105.03,17031010503,-87.6631262,42.0003207,2.957589286,0,87.8,14.4,0.11,27.93103448,100,80.93699515,36.34894992,7.913669065,19640.21065,25245.03205,48.28349945,68.47440446,1806
Census tract,Tract 106,17031010600,-87.667683,42.0062774,20.51981389,1.5,172.4,35.6,0.22,28.2152231,65,90.344211,52.23513634,6.27624825,53971.33282,36308.2961,27.69132039,53.88967468,6395
Census tract,Tract 107.01,17031010701,-87.6786204,42.0091482,13.86740331,0,67.8,10,1.02,33.12182741,87,92.65578635,48.18249258,3.86717108,63820.07746,37513.26906,12.90055249,42.56035935,3620
Census tract,Tract 107.02,17031010702,-87.6727257,42.0090199,13.93054459,0.4,87.2,22.2,0.56,25.70180911,143,81.74500966,40.85640695,3.46981263,47289.88505,24901.36019,22.79353822,25.83989249,5082
Census tract,Tract 201,17031020100,-87.6871169,42.015721,16.41791045,0.5,100.8,18,1.78,19.71496437,147,81.63265306,39.60695389,5.965770171,51806.41221,34822.2335,15.33996683,25.12025655,3618
Census tract,Tract 202,17031020200,-87.6995191,42.0156903,12.26608187,0.25,73.8,8,1.49,34.89361702,196,84.06708595,49.70882833,6.07175713,99829.25176,38643.99193,11.15497076,41.63323782,6840
Census tract,Tract 203.01,17031020301,-87.7051865,42.0068651,8.22808321,0.25,53.4,4.4,0.53,16.28318584,80,90.39238315,58.10732833,5.30814215,60432.15173,34491.29022,14.06017831,78.88746099,5384
Census tract,Tract 203.02,17031020302,-87.6949634,42.0085406,6.292087542,0.25,95.8,11.2,0.29,21.22093023,88,94.03617863,52.40248728,7.525083612,82205.46152,39505.29302,14.21041535,68.62783425,5137
Census tract,Tract 204,17031020400,-87.6859118,42.008488,9.593228309,0,96.2,14.2,0.8,19.57390146,109,88.90356671,53.03830911,4.037399065,69919.19235,39937.00428,16.42249527,35.67688856,4258
Census tract,Tract 205,17031020500,-87.6841982,42.0013129,18.1985013,0.25,108.4,25.4,0.71,14.53376206,192,68.66427516,27.36864317,13.13442018,47653.71051,20075.10406,22.49579446,12.45551601,6775
Census tract,Tract 206.01,17031020601,-87.7018025,42.0008746,10.92720307,0.2,126.6,24,0.47,43.08560677,111,86.94139684,44.39389885,14.19650291,40494.9407,21415.84862,35.38697318,65.57591623,6525
Census tract,Tract 206.02,17031020602,-87.6936373,42.0013156,16.04210526,0.25,103.8,18.2,0,23.15521628,116,84.3539823,45.02654867,4.353932584,60508.52326,23921.25895,22.56842105,45.71483107,4765
Census tract,Tract 207.01,17031020701,-87.7036897,41.9868915,4.609544469,0,52.2,7.8,0,33.78378378,95,92.13649852,52.00296736,6.08365019,103154.5953,46642.84851,8.622559653,68.76417234,1844
Census tract,Tract 207.02,17031020702,-87.7048939,41.9941256,7.341961175,0.8,102.8,16.8,0.36,30.19441069,237,76.61069895,27.45021476,9.053610503,52152.20551,19710.21788,21.78944749,43.9589578,8226
Census tract,Tract 208.01,17031020801,-87.6944149,41.9868081,13.91093117,0.25,82,13.4,0.25,30.36605657,145,74.4756805,30.34359661,5.9375,57333.80137,29279.99432,14.21862348,39.78494624,6175
