Layer,Name,GEOID,HCSHCP_2020-2021,HCSHCP_2020-2021_moe
,,,"Health care satisfaction rate (% of adults), 2020-2021",(90% margin of error)
Community area,Rogers Park,1,55.442466924,8.447949309604
Community area,Norwood Park,10,68.573138159,10.793959459041501
Community area,Jefferson Park,11,68.871929734,10.667250849927
Community area,Forest Glen,12,66.813378514,14.348602528053501
Community area,North Park,13,68.584662449,12.770715036212
Community area,Albany Park,14,48.591624339,12.9852250297875
Community area,Portage Park,15,58.316073342,10.466538124745501
Community area,Irving Park,16,58.51525481,9.622936597396501
Community area,Dunning,17,65.736819711,12.5687144237515
Community area,Montclare,18,69.045889751,13.4431531250485
Community area,Belmont Cragin,19,63.393564431,11.073839003493
Community area,West Ridge,2,64.989339698,9.897476792294
Community area,Hermosa,20,37.863592345,12.6012525826425
Community area,Avondale,21,58.923951626,12.297097369508
Community area,Logan Square,22,59.829745346,7.735666793718501
Community area,Humboldt Park,23,44.864819393,15.362595849912502
Community area,West Town,24,53.460911339,6.3917094354015
Community area,Austin,25,51.275433585,11.6922589320565
Community area,West Garfield Park,26,66.545901766,17.473672720315
Community area,East Garfield Park,27,64.092900405,13.247328000179
Community area,Near West Side,28,50.809984298,8.006929976878
Community area,North Lawndale,29,71.327061361,11.0612509694995
Community area,Uptown,3,53.589236979,7.297409153286
Community area,South Lawndale,30,56.543306973,11.337691045467501
Community area,Lower West Side,31,60.79400522,13.6478139563325
Community area,Loop,32,72.983369842,7.606381093552501
Community area,Near South Side,33,59.104070984,12.046592107413499
Community area,Armour Square,34,63.928089151,12.003196226203
Community area,Douglas,35,66.766686299,12.823188265454
Community area,Oakland,36,78.584094297,10.267450974088
Community area,Fuller Park,37,68.066693509,15.5462978993805
Community area,Grand Boulevard,38,49.919300674,12.3276165789385
Community area,Kenwood,39,78.056218759,9.6993433570355
Community area,Lincoln Square,4,62.243762427,8.5657234124525
Community area,Washington Park,40,31.727647617,11.398374120476
Community area,Hyde Park,41,57.694404451,10.484325622428
Community area,Woodlawn,42,51.139955407,13.072098370555
Community area,South Shore,43,63.026931479,11.604987885232001
Community area,Chatham,44,55.894438434,12.53362658576
Community area,Avalon Park,45,65.017482365,15.821055479383
Community area,South Chicago,46,45.803197601,15.712252664507
Community area,Burnside,47,42.776297106,24.814149826199998
Community area,Calumet Heights,48,63.085674226,17.97803273889
Community area,Roseland,49,60.405499991,11.818261650121501
Community area,North Center,5,58.556604445,10.879729303212
Community area,Pullman,50,32.795244904,21.034085008965
Community area,South Deering,51,34.288462296,17.572148554520002
Community area,East Side,52,29.072008043,13.313978870178
Community area,West Pullman,53,58.174192452,16.511528775595
Community area,Riverdale,54,68.831046012,21.15321525919
Community area,Hegewisch,55,65.471041711,13.656529822523
Community area,Garfield Ridge,56,60.300762039,11.063537361415001
Community area,Archer Heights,57,51.537840439,15.128199932993
Community area,Brighton Park,58,57.614282041,11.623312814449001
Community area,McKinley Park,59,38.274033958,17.708667727975
Community area,Lake View,6,64.445256902,4.6493634092395
Community area,Bridgeport,60,34.626607985,12.948880825678001
Community area,New City,61,47.535486355,14.230058254793502
Community area,West Elsdon,62,56.80748412,15.0056558578605
Community area,Gage Park,63,71.211833674,10.619234632706
Community area,Clearing,64,53.039433114,12.482287384315
Community area,West Lawn,65,49.579758932,14.2590058991625
Community area,Chicago Lawn,66,45.141538429,12.743243257549
Community area,West Englewood,67,63.379487391,13.482969543505002
Community area,Englewood,68,48.91983799,12.800206546204
Community area,Greater Grand Crossing,69,54.300210409,12.319378847461
Community area,Lincoln Park,7,66.721110078,5.7588689415285
Community area,Ashburn,70,54.284595337,15.5770726100465
Community area,Auburn Gresham,71,59.795216397,13.957590292387
Community area,Beverly,72,69.861788368,12.124095764074001
Community area,Washington Heights,73,72.767026336,9.9114647640575
Community area,Mount Greenwood,74,61.075610367,14.861932941366
Community area,Morgan Park,75,71.495315517,12.9771074571705
Community area,O'Hare,76,56.644229847,19.016046167825003
Community area,Edgewater,77,60.897505616,6.2133996143415
Community area,Near North Side,8,60.563726862,5.364154937028999
Community area,Edison Park,9,71.534466226,11.570412660659999
