Layer,Name,GEOID,HCSNCP_2020-2021,HCSNCP_2020-2021_moe
,,,"Received needed care rate (% of adults), 2020-2021",(90% margin of error)
Community area,Rogers Park,1,76.12125163,7.990103980873
Community area,Norwood Park,10,95.342240638,3.403538831728
Community area,Jefferson Park,11,88.259742269,7.092872522792
Community area,Forest Glen,12,83.142270498,15.620708983348
Community area,North Park,13,86.654413359,7.903930350067501
Community area,Albany Park,14,57.34206262,13.778781965098501
Community area,Portage Park,15,81.457673937,8.001659731142
Community area,Irving Park,16,75.482061944,9.484939508072001
Community area,Dunning,17,85.105615313,7.874649475087501
Community area,Montclare,18,54.319697565,17.32519657813
Community area,Belmont Cragin,19,67.005352013,13.137636927744001
Community area,West Ridge,2,75.342322775,9.5511298835155
Community area,Hermosa,20,62.357257096,13.6648664106045
Community area,Avondale,21,65.518619527,13.461350894285
Community area,Logan Square,22,82.383639861,7.291531098145
Community area,Humboldt Park,23,51.023785602,17.634906908395
Community area,West Town,24,77.612134241,6.5137351256319995
Community area,Austin,25,76.703560262,10.89303244519
Community area,West Garfield Park,26,76.299698091,16.3124744749295
Community area,East Garfield Park,27,83.745438306,9.330573926359
Community area,Near West Side,28,73.807218195,8.2340418917015
Community area,North Lawndale,29,68.711589867,17.333877215165
Community area,Uptown,3,74.741208017,7.5556581735915
Community area,South Lawndale,30,57.600862384,12.8618235360755
Community area,Lower West Side,31,87.011100588,7.3882629752365006
Community area,Loop,32,86.784497838,5.846985482492
Community area,Near South Side,33,72.627131254,12.805261104146
Community area,Armour Square,34,59.433220681,17.01350093849
Community area,Douglas,35,85.170623933,7.39165999943
Community area,Oakland,36,86.46931437,11.1951245032725
Community area,Fuller Park,37,68.472982253,18.812381178745
Community area,Grand Boulevard,38,83.129212673,11.001505443817
Community area,Kenwood,39,83.706400225,11.3120326911165
Community area,Lincoln Square,4,83.72548548,6.5453981815355
Community area,Washington Park,40,78.407487617,10.6855874291985
Community area,Hyde Park,41,81.792061811,7.258900024719
Community area,Woodlawn,42,78.184897032,12.608556444165501
Community area,South Shore,43,76.491747356,10.3120633143745
Community area,Chatham,44,76.242336566,13.7679231884985
Community area,Avalon Park,45,79.312998687,11.425626261700002
Community area,South Chicago,46,69.22721009,21.381107668445
Community area,Burnside,47,80.760815641,14.6744532258905
Community area,Calumet Heights,48,89.045758992,7.5948925648925
Community area,Roseland,49,77.449908061,9.2392834125095
Community area,North Center,5,78.309990857,11.418069260339
Community area,Pullman,50,61.950401378,34.106936113425
Community area,South Deering,51,80.719465425,13.7826250414055
Community area,East Side,52,67.549517389,17.312457867565
Community area,West Pullman,53,70.368079256,16.909158043995
Community area,Riverdale,54,57.969275238,24.69878516357
Community area,Hegewisch,55,89.456837118,5.9033198187215
Community area,Garfield Ridge,56,86.965648292,6.377994174041
Community area,Archer Heights,57,68.754619025,13.0382473738475
Community area,Brighton Park,58,72.724301123,9.222792812758001
Community area,McKinley Park,59,80.706138105,11.095425886118
Community area,Lake View,6,86.252082376,3.35632325147
Community area,Bridgeport,60,75.600089777,13.6353337078385
Community area,New City,61,54.793432648,16.4155382953975
Community area,West Elsdon,62,77.645060304,13.2359022886405
Community area,Gage Park,63,59.971916002,14.909951466686499
Community area,Clearing,64,78.106503345,10.651093722108
Community area,West Lawn,65,68.829165361,15.492211726747001
Community area,Chicago Lawn,66,65.625777659,14.8198805662005
Community area,West Englewood,67,85.813536108,7.7916897724085
Community area,Englewood,68,77.663156365,11.8199901608495
Community area,Greater Grand Crossing,69,71.071780748,12.138396927552
Community area,Lincoln Park,7,91.058111501,3.490403966413
Community area,Ashburn,70,53.519167383,18.410442905225
Community area,Auburn Gresham,71,68.179223912,15.5632397047015
Community area,Beverly,72,89.263117625,6.8910267851075
Community area,Washington Heights,73,86.829765342,7.951655211633001
Community area,Mount Greenwood,74,94.57414222,4.0400407098485
Community area,Morgan Park,75,75.916845277,15.5581507063815
Community area,O'Hare,76,56.641837331,20.871301586205
Community area,Edgewater,77,77.954470935,5.8889158516265
Community area,Near North Side,8,83.34309916,4.2668536872115
Community area,Edison Park,9,90.651146325,5.526986622608501
